UnitPlan	StartDate	EndDate	RentRate									
2BR-S	7/2/2015	8/1/2015	2101									
STD-S&A	8/2/2015	9/1/2015	1449									
STD-S&B	8/2/2015	9/1/2015	1449									
STD-S&C	8/2/2015	9/1/2015	1449									
STD-M&A	8/2/2015	9/1/2015	1783									
STD-M&B	8/2/2015	9/1/2015	1783									
STD-L	8/2/2015	9/1/2015	1987									
1BR-S&A	8/2/2015	9/1/2015	1854									
1BR-S&B	8/2/2015	9/1/2015	1854									
1BR-L&A	8/2/2015	9/1/2015	2041									
1BR-L&B	8/2/2015	9/1/2015	2041									
2BR-S	8/2/2015	9/1/2015	2094									
STD-S&A	9/2/2015	10/1/2015	1465									
STD-S&B	9/2/2015	10/1/2015	1465									
STD-S&C	9/2/2015	10/1/2015	1465									
STD-M&A	9/2/2015	10/1/2015	1803									
STD-M&B	9/2/2015	10/1/2015	1803									
STD-L	9/2/2015	10/1/2015	2009									
1BR-S&A	9/2/2015	10/1/2015	1851									
1BR-S&B	9/2/2015	10/1/2015	1851									
1BR-L&A	9/2/2015	10/1/2015	2038									
1BR-L&B	9/2/2015	10/1/2015	2038									
2BR-S	9/2/2015	10/1/2015	2250									
STD-S&A	10/2/2015	11/1/2015	1433									
STD-S&B	10/2/2015	11/1/2015	1433									
STD-S&C	10/2/2015	11/1/2015	1433									
STD-M&A	10/2/2015	11/1/2015	1764									
STD-M&B	10/2/2015	11/1/2015	1764									
STD-L	10/2/2015	11/1/2015	1965									
1BR-S&A	10/2/2015	11/1/2015	1784									
1BR-S&B	10/2/2015	11/1/2015	1784									
1BR-L&A	10/2/2015	11/1/2015	1965									
1BR-L&B	10/2/2015	11/1/2015	1965									
2BR-S	10/2/2015	11/1/2015	2009									
STD-S&A	11/2/2015	12/1/2015	1383									
STD-S&B	11/2/2015	12/1/2015	1383									
STD-S&C	11/2/2015	12/1/2015	1383									
STD-M&A	11/2/2015	12/1/2015	1702									
STD-M&B	11/2/2015	12/1/2015	1702									
STD-L	11/2/2015	12/1/2015	1897									
1BR-S&A	11/2/2015	12/1/2015	1790									
1BR-S&B	11/2/2015	12/1/2015	1790									
1BR-L&A	11/2/2015	12/1/2015	1971									
1BR-L&B	11/2/2015	12/1/2015	1971									
2BR-S	11/2/2015	12/1/2015	2000									
STD-S&A	12/2/2015	1/1/2016	1404									
STD-S&B	12/2/2015	1/1/2016	1404									
STD-S&C	12/2/2015	1/1/2016	1404									
STD-M&A	12/2/2015	1/1/2016	1728									
STD-M&B	12/2/2015	1/1/2016	1728									
STD-L	12/2/2015	1/1/2016	1926									
1BR-S&A	12/2/2015	1/1/2016	1834									
1BR-S&B	12/2/2015	1/1/2016	1834									
1BR-L&A	12/2/2015	1/1/2016	2020									
1BR-L&B	12/2/2015	1/1/2016	2020									
2BR-S	12/2/2015	1/1/2016	2026									
STD-S&A	1/2/2016	2/1/2016	1383									
STD-S&B	1/2/2016	2/1/2016	1383									
STD-S&C	1/2/2016	2/1/2016	1383									
STD-M&A	1/2/2016	2/1/2016	1703									
STD-M&B	1/2/2016	2/1/2016	1703									
STD-L	1/2/2016	2/1/2016	1898									
1BR-S&A	1/2/2016	2/1/2016	1860									
1BR-S&B	1/2/2016	2/1/2016	1860									
1BR-L&A	1/2/2016	2/1/2016	2048									
1BR-L&B	1/2/2016	2/1/2016	2048									
2BR-S	1/2/2016	2/1/2016	2027																	
STD-S&C	3/1/2021	3/31/2021	1513									
STD-M&A	3/1/2021	3/31/2021	1863									
STD-M&B	3/1/2021	3/31/2021	1863									
STD-L	3/1/2021	3/31/2021	2076									
1BR-S&A	3/1/2021	3/31/2021	1933									
1BR-S&B	3/1/2021	3/31/2021	1933									
1BR-L&A	3/1/2021	3/31/2021	2129									
1BR-L&B	3/1/2021	3/31/2021	2129									
2BR-S	3/1/2021	3/31/2021	2177									
